ID;long;lat;tipo;Mg;Ca;Na;K;HCO3;Cl;SO4
M-258530;-74.5022;6.075;Piezometro;0.01;0.745;0.0013;0.292307692;0.385245902;0.166197183;0.208333333
M-223930;-73.7043;6.9533;Pozo;0.01;6.659115;0.713565217;0.005;0.016393443;0.056619718;5.138333333
M-258610;-74.5176;6.0868;Piezometro;0.01;0.715;0.0013;0.323076923;0.367213115;0.154929577;0.208333333
M-258470;-74.5041;6.0661;Piezometro;0.01;0.73;0.0013;0.297435897;0.354098361;0.129577465;0.208333333
M-29080;-73.8858;7.2464;Aljibe;0.01;1.165;1.12173913;0.229487179;0.459016393;1;0.19375
M-258560;-74.5022;6.0801;Piezometro;0.01;0.755;0.0013;0.371794872;0.370491803;0.177464789;0.208333333
M-26953;-73.662;7.4493;Manantial;0.01;0.01;0.0013;0.002564103;0.001;0.005633803;0.010416667
M-258570;-74.5119;6.0802;Piezometro;0.01;0.68;0.0013;0.264102564;0.318032787;0.104225352;0.208333333
M-0065;-73.6325;5.0872;Pozo;0.01;0.67;1.408695652;0.094871795;1.852459016;0.070422535;0.208333333
M-225130;-73.8739;7.0631;Piezometro;0.01;2.36;1.356521739;0.067179487;3.613114754;0.337464789;0.03125
M-29077;-73.8592;7.2055;Pozo;0.01;8.25;0.783913043;0.068717949;7.93442623;2.228169014;0.104166667
M-0066;-73.6546;8.1089;Pozo;0.01;0.44;0.47826087;0.151282051;0.595081967;0.183098592;0.208333333
M-0067;-73.3169;8.1111;Pozo;0.01;0.73;0.786956522;0.146153846;1.721311475;0.070422535;0.208333333
M-0064;-70.5277;8.1075;Pozo;0.01;0.67;0.795652174;0.071794872;0.937704918;0.118309859;0.208333333
M-26528;-73.4512;7.3272;Pozo de monitoreo;2.06;2.025;1.282608696;0.082820513;2.573770492;0.278873239;1.55
M-2188;-73.5705;7.9525;Pozo;0.55;1.05;0.782608696;0.071794872;2.704918033;0.208450704;0.147916667
M-25884;-73.5722;7.8995;Pozo de monitoreo;0.55;1.05;0.782608696;0.071794872;2.704918033;0.208450704;0.147916667
M-239290;-73.7889;7.3781;Pozo;0.17;0.074;0.025608696;0.009051282;0.147540984;0.092957746;0.104166667
M-245020;-73.3792;7.5181;Pozo;0.81;1.03;0.439130435;0.005;1.595081967;1.23943662;0.0225
M-224230;-73.6213;7.1041;Pozo;0.16;0.048;0.057391304;0.022051282;0.06557377;0.084507042;0.208333333
M-26711;-73.8858;7.2464;Aljibe;0.01;0.01;0.073913043;0.017948718;0.001;0.067605634;0.00625
